,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
0,1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False,0
1,1927,1928,1,ACTOR,Emil Jannings,The Last Command,True,1
2,1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False,0
3,1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True,3
4,1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False,0
5,1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,False,3
6,1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,True,1
8,1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,False,0
11,1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,True,1
12,1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,False,0
14,1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,False,0
15,1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,False,0
16,1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,False,0
18,1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,True,1
21,1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,False,0
22,1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,False,0
23,1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,False,0
26,1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,True,1
27,1928,1929,2,ACTOR,George Bancroft,Thunderbolt,False,0
28,1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,True,1
29,1928,1929,2,ACTOR,Chester Morris,Alibi,False,0
30,1928,1929,2,ACTOR,Paul Muni,The Valiant,False,0
31,1928,1929,2,ACTOR,Lewis Stone,The Patriot,False,1
32,1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,False,0
33,1928,1929,2,ACTRESS,Betty Compson,The Barker,False,0
34,1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,False,0
35,1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,False,1
36,1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,False,1
37,1928,1929,2,ACTRESS,Mary Pickford,Coquette,True,1
39,1928,1929,2,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,True,1
40,1928,1929,2,ART DIRECTION,Mitchell Leisen,Dynamite,False,0
41,1928,1929,2,ART DIRECTION,William Cameron Menzies,Alibi;,False,0
